,driverId,raceId,temp,Track Length (km),Turns,Direction,Circuit Type,grid,circuit_lap_count,avg_lap_time_last5,avg_position_last5,avg_stop_last5,avg_fastestRank_last5,avg_fastestLap_last5,stop
3778,847,1052,21.4,5.412,15,Clockwise,Race,15.0,56,100249.673997856,13.8,2.4,11.4,57.4,2
3797,847,1053,9.2,4.909,19,Anti clockwise,Race,12.0,63,98515.39667728185,13.4,2.4,11.0,55.2,1
3815,847,1054,16.3,4.653,15,Clockwise,Race,11.0,66,93233.40286775804,14.8,2.0,11.2,51.4,3
3835,847,1055,17.1,4.657,14,Clockwise,Race,15.0,66,98263.85796943797,16.2,1.8,14.2,47.4,2
3852,847,1056,18.0,3.337,19,Clockwise,Street,15.0,78,94078.18606060607,16.0,2.0,13.6,42.6,1
3870,847,1057,21.5,6.003,20,Anti clockwise,Street,15.0,51,91188.59748917748,15.4,1.8,15.6,43.4,4
3889,847,1058,20.2,4.318,10,Clockwise,Race,10.0,71,94378.92612554113,16.0,2.2,16.2,44.0,2
3909,847,1059,23.3,5.842,15,Clockwise,Race,14.0,53,88790.69056998557,16.0,2.4,16.2,44.0,1
3928,847,1060,18.2,4.318,10,Clockwise,Race,8.0,71,91338.10518537018,15.2,2.0,15.6,42.4,1
3947,847,1061,23.5,5.891,18,Clockwise,Race,12.0,52,88396.46100954601,14.6,1.8,15.4,47.6,2
3963,847,1062,22.6,4.381,14,Clockwise,Race,17.0,70,100647.07674674997,14.2,2.0,15.0,45.6,3
3983,847,1064,16.4,4.259,14,Clockwise,Race,11.0,72,98911.1031753214,12.4,1.8,13.8,49.4,2
4002,847,1065,14.9,5.793,11,Clockwise,Race,14.0,53,99741.42829609435,12.0,1.8,13.4,55.2,1
4021,847,1066,14.8,5.848,18,Clockwise,Road,3.0,53,98153.70384036141,11.4,1.8,13.0,55.4,2
4040,847,1067,17.5,5.338,14,Anti clockwise,Race,13.0,58,104633.16653577921,11.2,2.0,13.4,52.2,1
4060,847,1069,24.3,5.513,20,Anti clockwise,Race,20.0,56,96046.68686601656,11.8,1.8,14.0,53.0,2
4080,847,1070,15.3,4.304,17,Clockwise,Race,16.0,71,95319.22998289968,13.0,1.6,14.4,47.8,1
4098,847,1071,17.9,4.309,15,Anti clockwise,Race,17.0,71,96950.0676640591,12.8,1.4,14.8,48.6,4
4118,847,1072,26.4,6.174,27,Anti clockwise,Street,14.0,50,94333.47882308875,13.6,2.0,15.6,47.0,2
4154,847,1074,21.6,5.412,15,Clockwise,Race,9.0,57,112402.5332705281,15.4,2.0,15.8,40.4,3
4174,847,1075,26.8,6.174,27,Anti clockwise,Street,6.0,50,113709.81748105442,13.2,2.4,13.8,41.0,1
4189,847,1076,20.8,5.278,14,Clockwise,Street,6.0,58,113198.82293559986,11.4,2.2,13.0,42.4,1
4207,847,1077,12.6,4.909,19,Anti clockwise,Race,11.0,63,114178.34442485524,8.8,2.2,10.2,40.8,1
4227,847,1078,27.7,5.412,19,Anti clockwise,Street,12.0,57,115859.76315501398,7.0,1.6,8.8,43.2,1
4246,847,1079,22.4,4.657,14,Clockwise,Race,4.0,66,96818.98120012674,4.2,1.4,6.0,53.0,3
4265,847,1080,21.9,3.337,19,Clockwise,Street,6.0,64,94038.94100873919,4.0,1.4,5.4,52.4,2
4284,847,1081,23.5,6.003,20,Anti clockwise,Street,5.0,51,95552.81913373919,4.0,1.6,5.6,52.2,2
4303,847,1082,16.0,4.361,13,Clockwise,Street,8.0,70,99625.3747118325,4.0,1.8,5.6,50.0,2
4339,847,1084,16.2,4.318,10,Clockwise,Race,4.0,71,98495.75883881663,4.0,2.0,5.0,51.2,2
4358,847,1085,26.0,5.842,15,Clockwise,Race,6.0,53,92987.75528062538,3.8,2.2,5.2,52.2,1
